# Browser/Puppeteer Errors
# Session closed, protocol errors, browser crashes
# Format: [timestamp] | Category: browser/<subcat> | Phase: <phase> | Code: <code> | URL: <url> | Message: <msg>
[2025-06-30T21:15:55.658Z] | Category: browser/context | Phase: data_extraction | Code: CONTEXT_DESTROYED | URL: https://radarsertanejo.com | Message: Execution context was destroyed
[2025-06-30T21:16:18.976Z] | Category: browser/frame | Phase: data_extraction | Code: FRAME_DETACHED | URL: https://audio4fun.com | Message: Attempted to use detached Frame 'E9F7C6861849A058373028480FA71EC7'.
[2025-06-30T21:16:58.152Z] | Category: browser/frame | Phase: data_extraction | Code: FRAME_DETACHED | URL: https://pallibatani.com | Message: Attempted to use detached Frame 'DAFE7FD949F387C31CE0FF6798960036'.
[2025-06-30T21:17:45.640Z] | Category: browser/frame | Phase: data_extraction | Code: FRAME_DETACHED | URL: https://countycomm.com | Message: Attempted to use detached Frame 'D7F29C89E69027A33AC0F35EDC4C2A60'.
[2025-06-30T21:23:57.609Z] | Category: browser/frame | Phase: data_extraction | Code: FRAME_DETACHED | URL: https://haikanbuhin.com | Message: Attempted to use detached Frame '2230269CACA952A5C4AFD352895C5244'.
[2025-06-30T21:25:03.223Z] | Category: browser/frame | Phase: data_extraction | Code: FRAME_DETACHED | URL: https://noticiasdelaciencia.com | Message: Attempted to use detached Frame '28C17355105E47C6931B87F8AEC14645'.
[2025-06-30T21:26:23.308Z] | Category: browser/frame | Phase: data_extraction | Code: FRAME_DETACHED | URL: https://liqui-moly.de | Message: Attempted to use detached Frame '4513FB7A4525BD168F8BCD0D9D160DEB'.
[2025-06-30T21:27:10.935Z] | Category: browser/context | Phase: data_extraction | Code: CONTEXT_DESTROYED | URL: https://kissfmuk.com | Message: Execution context was destroyed
[2025-06-30T21:28:07.277Z] | Category: browser/context | Phase: data_extraction | Code: CONTEXT_DESTROYED | URL: https://ion.ir | Message: Execution context was destroyed
[2025-06-30T21:28:30.835Z] | Category: browser/context | Phase: data_extraction | Code: CONTEXT_DESTROYED | URL: https://kcu.ac | Message: Execution context was destroyed
[2025-06-30T21:30:44.888Z] | Category: browser/frame | Phase: data_extraction | Code: FRAME_DETACHED | URL: https://popwrapped.com | Message: Attempted to use detached Frame 'B9F2F7F684D208F76851C2A028AE1AC6'.
